Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774433954,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774433959,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774433964,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774433969,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774433974,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774433981,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774433986,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774433991,6,,Aggregated,1.000000,0.000000,670,670,820,820,1900,1900,1900,1900,1900,1900,1900,6,0,320.0,697.8585711670652,139.95788400097808,1927.665307001007,11025.0
1774433996,11,,Aggregated,1.222222,0.000000,400,510,670,690,820,1900,1900,1900,1900,1900,1900,15,0,400.0,536.6298041334327,139.95788400097808,1927.665307001007,11571.933333333332
1774434001,16,,Aggregated,2.200000,0.000000,400,510,600,650,700,1100,1900,1900,1900,1900,1900,31,0,400.0,485.02356167744205,75.22577199961233,1927.665307001007,11811.451612903225
1774434006,21,,Aggregated,2.800000,0.000000,380,560,650,670,820,1100,5100,5100,5100,5100,5100,47,0,380.0,570.26834678734,75.22577199961233,5139.910128000338,12044.510638297872
1774434011,26,,Aggregated,3.500000,0.000000,380,510,600,650,720,920,1900,5100,5100,5100,5100,66,0,370.0,523.1612817122258,75.22577199961233,5139.910128000338,11726.651515151516
1774434017,30,,Aggregated,3.300000,0.000000,440,560,650,690,840,1100,5100,5200,5200,5200,5200,96,0,430.0,575.0864699062959,72.84091399924364,5175.668677000431,12148.427083333334
1774434022,30,,Aggregated,4.000000,0.000000,440,520,620,660,830,1100,5100,5200,11000,11000,11000,115,0,440.0,636.9446036521961,72.84091399924364,10718.558431000929,11885.0
1774434027,30,,Aggregated,5.300000,0.000000,440,560,620,660,820,990,5200,5700,11000,11000,11000,141,0,440.0,642.7085642198308,69.12344899865275,10718.558431000929,11887.978723404256
1774434032,30,,Aggregated,5.000000,0.000000,430,540,630,690,840,1300,5200,5700,11000,11000,11000,167,0,430.0,667.8372775808449,69.12344899865275,10718.558431000929,11802.041916167665
1774434037,30,,Aggregated,4.400000,0.000000,420,510,620,670,840,1100,5200,5700,11000,11000,11000,189,0,420.0,637.5470387883402,69.12344899865275,10718.558431000929,11668.746031746032
1774434042,30,,Aggregated,4.700000,0.000000,410,510,630,670,840,1400,5200,5700,11000,11000,11000,211,0,410.0,685.2749286350721,69.12344899865275,10718.558431000929,11694.478672985782
1774434048,30,,Aggregated,5.300000,0.000000,420,510,620,660,840,1400,5200,5700,11000,11000,11000,236,0,410.0,666.831431089014,69.12344899865275,10718.558431000929,11908.580508474577
1774434053,30,,Aggregated,4.300000,0.000000,430,560,630,690,890,1400,5200,5700,11000,11000,11000,265,0,430.0,682.7005406226747,69.12344899865275,10718.558431000929,12007.532075471698
1774434058,30,,Aggregated,4.500000,0.000000,440,560,630,690,890,1300,5200,5700,11000,11000,11000,288,0,440.0,671.0062876111351,69.12344899865275,10718.558431000929,12075.809027777777
1774434063,30,,Aggregated,4.900000,0.000000,440,570,660,710,950,1800,5500,5700,11000,11000,11000,314,0,440.0,742.2907139713399,69.12344899865275,10718.558431000929,12169.649681528663
1774434068,30,,Aggregated,5.000000,0.000000,440,580,670,710,960,1900,5500,5800,11000,11000,11000,336,0,440.0,755.6756400178498,69.12344899865275,10718.558431000929,12104.166666666666
1774434073,30,,Aggregated,4.600000,0.000000,450,580,670,720,960,1900,5500,5800,11000,11000,11000,357,0,450.0,744.9979761400418,69.12344899865275,10718.558431000929,12090.434173669468
1774434078,30,,Aggregated,4.300000,0.000000,450,590,690,720,980,2500,5600,5800,11000,11000,11000,385,0,450.0,769.8292915324638,69.12344899865275,10718.558431000929,12088.74025974026
1774434085,30,,Aggregated,4.000000,0.000000,450,590,690,720,970,2500,5500,5700,11000,11000,11000,404,0,450.0,768.2596254653484,69.12344899865275,10718.558431000929,12057.165841584158
1774434090,30,,Aggregated,3.600000,0.000000,460,620,700,750,990,5100,5700,5800,11000,11000,11000,426,0,450.0,787.091939917843,69.12344899865275,10718.558431000929,12041.81455399061
1774434095,30,,Aggregated,4.700000,0.000000,460,620,710,780,1000,5100,5600,5800,11000,11000,11000,451,0,460.0,800.8633039268366,69.12344899865275,10718.558431000929,12068.30598669623
1774434100,30,,Aggregated,4.600000,0.000000,460,630,710,780,1100,5100,5600,5800,11000,11000,11000,471,0,460.0,803.9940121826058,69.12344899865275,10718.558431000929,12080.711252653928
1774434105,30,,Aggregated,4.400000,0.000000,480,630,720,790,1100,5100,5700,5900,11000,11000,11000,495,0,480.0,821.6934296222396,69.12344899865275,11269.063574000029,12067.131313131313
1774434110,30,,Aggregated,4.700000,0.000000,490,630,720,790,1100,5100,5600,5800,11000,11000,11000,517,0,490.0,822.6483883036889,69.12344899865275,11269.063574000029,12104.332688588007
1774434116,30,,Aggregated,4.300000,0.000000,490,630,720,800,1100,5100,5600,5800,11000,11000,11000,540,0,490.0,838.988505014826,69.12344899865275,11269.063574000029,12088.557407407407
1774434121,30,,Aggregated,4.000000,0.000000,490,630,720,800,1100,5100,5600,5800,11000,11000,11000,561,0,490.0,838.1756625989509,69.12344899865275,11269.063574000029,12060.306595365419
1774434126,30,,Aggregated,3.900000,0.000000,490,630,720,800,1100,5100,5600,5800,11000,11000,11000,584,0,490.0,832.929685342491,69.12344899865275,11269.063574000029,12054.147260273972
1774434131,30,,Aggregated,4.200000,0.000000,490,630,720,800,1100,5100,5600,5800,11000,11000,11000,603,0,490.0,838.4694395307173,69.12344899865275,11269.063574000029,12049.970149253732
1774434136,30,,Aggregated,4.700000,0.000000,490,630,720,800,1100,5100,5600,5800,11000,11000,11000,625,0,490.0,833.2430258080221,69.12344899865275,11269.063574000029,12093.0864
1774434141,30,,Aggregated,4.300000,0.000000,490,640,730,830,1200,5200,5600,5800,11000,11000,11000,649,0,490.0,878.0635829769019,69.12344899865275,11269.063574000029,12067.510015408321
1774434146,30,,Aggregated,4.700000,0.000000,490,630,730,830,1200,5200,5600,5800,11000,11000,11000,675,0,490.0,878.4220697629754,69.12344899865275,11269.063574000029,12046.897777777778
1774434152,30,,Aggregated,4.300000,0.000000,490,630,720,820,1200,5200,5600,5800,11000,11000,11000,697,0,490.0,867.9068567876858,69.12344899865275,11269.063574000029,12067.022955523673
1774434157,30,,Aggregated,4.200000,0.000000,490,630,720,820,1100,5100,5600,5800,11000,11000,11000,722,0,490.0,861.9655709972528,69.12344899865275,11269.063574000029,12095.961218836565
1774434162,30,,Aggregated,4.300000,0.000000,490,630,720,820,1100,5100,5600,5800,11000,11000,11000,749,0,490.0,850.2612350227197,69.12344899865275,11269.063574000029,12073.54339118825
1774434167,30,,Aggregated,4.900000,0.000000,490,630,730,830,1100,5100,5600,5800,11000,11000,11000,774,0,490.0,860.3459477338716,69.12344899865275,11269.063574000029,12068.954780361757
1774434172,30,,Aggregated,5.800000,0.000000,490,630,720,820,1100,5100,5600,5800,11000,11000,11000,800,0,490.0,851.7198871925243,69.12344899865275,11269.063574000029,12042.34
1774434177,30,,Aggregated,5.300000,0.000000,490,630,720,820,1100,5100,5600,5800,11000,11000,11000,821,0,490.0,854.1202492363267,69.12344899865275,11269.063574000029,12048.998781973203
1774434184,30,,Aggregated,4.000000,0.000000,490,630,720,830,1200,5200,5700,5800,11000,11000,11000,838,0,490.0,866.7892116730567,69.12344899865275,11269.063574000029,12083.365155131265
1774434189,30,,Aggregated,3.500000,0.000000,490,630,730,830,1200,5100,5700,5900,11000,11000,11000,867,0,490.0,873.6432300403939,69.12344899865275,11269.063574000029,12047.222606689735
1774434194,30,,Aggregated,4.500000,0.000000,490,640,730,840,1200,5200,5700,5900,11000,11000,11000,889,0,490.0,878.2213872171185,69.12344899865275,11269.063574000029,12040.116985376828
1774434199,30,,Aggregated,5.000000,0.000000,490,640,750,840,1200,5200,5700,5900,11000,11000,11000,916,0,490.0,886.6988379661702,69.12344899865275,11269.063574000029,12006.830786026201
1774434204,30,,Aggregated,4.800000,0.000000,490,650,770,860,1200,5200,5700,5900,11000,11000,11000,937,0,490.0,885.0516330757912,69.12344899865275,11269.063574000029,11983.905016008537
1774434209,30,,Aggregated,4.200000,0.000000,490,650,770,860,1200,5200,5700,5900,11000,11000,11000,960,0,490.0,886.8458082416806,69.12344899865275,11269.063574000029,11999.084375
1774434214,30,,Aggregated,4.600000,0.000000,490,650,770,860,1200,5200,5700,5900,11000,11000,11000,981,0,490.0,883.7392420937967,69.12344899865275,11269.063574000029,11983.109072375128
