details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:49:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:50:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:51:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:52:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:53:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 08:54:00
