timestamp,details-v1&p50,ratings-v1&p50,reviews-v1&p50,reviews-v2&p50,reviews-v3&p50,details-v1&p90,ratings-v1&p90,reviews-v1&p90,reviews-v2&p90,reviews-v3&p90,details-v1&p99,ratings-v1&p99,reviews-v1&p99,reviews-v2&p99,reviews-v3&p99
2026-03-25 08:49:00,,,7.5,,,,,9.5,,,,,9.950000000000001,,
2026-03-25 08:49:05,,3.0,3.0,,75.0,,4.6,4.6,,95.0,,4.960000000000001,4.960000000000001,,99.5
2026-03-25 08:49:10,,3.0,3.0,,75.0,,4.6,4.6,,95.0,,4.960000000000001,4.960000000000001,,99.5
2026-03-25 08:49:15,7.5,3.0,3.0,,75.0,9.5,4.6,4.6,,95.0,9.950000000000001,4.960000000000001,4.960000000000001,,99.5
2026-03-25 08:49:20,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 08:49:25,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 08:49:30,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 08:49:35,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:49:40,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:49:45,17.5,,,,,23.5,,,,,24.85,,,,
2026-03-25 08:49:50,17.5,3.0,,,,23.5,4.6,,,,24.85,4.960000000000001,,,
2026-03-25 08:49:55,17.5,3.0,,,,23.5,4.6,,,,24.85,4.960000000000001,,,
2026-03-25 08:50:00,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 08:50:05,7.5,4.0,,,75.0,9.5,8.5,,,95.0,9.950000000000001,9.85,,,99.5
2026-03-25 08:50:10,7.5,4.0,,50.0,75.0,9.5,8.5,,9000.0,95.0,9.950000000000001,9.85,,9900.0,99.5
2026-03-25 08:50:15,7.5,4.0,,50.0,75.0,9.5,8.5,,9000.0,95.0,9.950000000000001,9.85,,9900.0,99.5
2026-03-25 08:50:20,7.5,3.0,,50.0,,9.5,4.6,,9000.0,,9.950000000000001,4.960000000000001,,9900.0,
2026-03-25 08:50:25,7.5,3.0,,17.5,,9.5,4.6,,23.5,,9.950000000000001,4.960000000000001,,24.85,
2026-03-25 08:50:30,6.25,3.0,,17.5,,9.25,4.6,,23.5,,9.925,4.960000000000001,,24.85,
2026-03-25 08:50:35,6.25,3.0,,17.5,,9.25,4.6,,23.5,,9.925,4.960000000000001,,24.85,
2026-03-25 08:50:40,6.25,3.0,,,,9.25,4.6,,,,9.925,4.960000000000001,,,
2026-03-25 08:50:45,17.5,3.0,,,,23.5,4.6,,,,24.85,4.960000000000001,,,
2026-03-25 08:50:50,17.5,3.0,,,,23.5,4.6,,,,24.85,4.960000000000001,,,
2026-03-25 08:50:55,17.5,3.0,,,,23.5,4.6,,,,24.85,4.960000000000001,,,
2026-03-25 08:51:00,17.5,3.0,,,,23.5,4.6,,,,24.85,4.960000000000001,,,
2026-03-25 08:51:05,17.5,3.0,,,75.0,23.5,4.6,,,95.0,24.85,4.960000000000001,,,99.5
2026-03-25 08:51:10,17.5,3.0,,,75.0,23.5,4.6,,,95.0,24.85,4.960000000000001,,,99.5
2026-03-25 08:51:15,6.25,3.0,,,75.0,9.25,4.6,,,95.0,9.925,4.960000000000001,,,99.5
2026-03-25 08:51:20,6.25,3.0,,,,9.25,4.6,,,,9.925,4.960000000000001,,,
2026-03-25 08:51:25,6.25,3.0,,,,9.25,4.6,,,,9.925,4.960000000000001,,,
2026-03-25 08:51:30,,3.0,,,,,4.6,,,,,4.960000000000001,,,
2026-03-25 08:51:35,,4.0,,,17.5,,8.5,,,23.5,,9.85,,,24.85
2026-03-25 08:51:40,,4.0,,,17.5,,8.5,,,23.5,,9.85,,,24.85
2026-03-25 08:51:45,7.5,4.0,,,17.5,9.5,8.5,,,23.5,9.950000000000001,9.85,,,24.85
2026-03-25 08:51:50,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 08:51:55,7.5,3.0,,75.0,,9.5,4.6,,95.0,,9.950000000000001,4.960000000000001,,99.5,
2026-03-25 08:52:00,,3.0,,75.0,,,4.6,,95.0,,,4.960000000000001,,99.5,
2026-03-25 08:52:05,,3.0,,75.0,,,4.6,,95.0,,,4.960000000000001,,99.5,
2026-03-25 08:52:10,,3.0,,,,,4.6,,,,,4.960000000000001,,,
2026-03-25 08:52:15,7.5,3.0,,,,9.5,4.6,,,,9.950000000000001,4.960000000000001,,,
2026-03-25 08:52:20,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:52:25,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:52:30,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:52:35,7.5,,5.0,,,9.5,,9.0,,,9.950000000000001,,9.899999999999999,,
2026-03-25 08:52:40,7.5,,5.0,,,9.5,,9.0,,,9.950000000000001,,9.899999999999999,,
2026-03-25 08:52:45,,,5.0,,,,,9.0,,,,,9.899999999999999,,
2026-03-25 08:52:50,,,,,,,,,,,,,,,
2026-03-25 08:52:55,,,,,,,,,,,,,,,
2026-03-25 08:53:00,,,,,,,,,,,,,,,
2026-03-25 08:53:05,,,,,,,,,,,,,,,
2026-03-25 08:53:10,,,,,,,,,,,,,,,
2026-03-25 08:53:15,,,,,,,,,,,,,,,
2026-03-25 08:53:20,,,,,,,,,,,,,,,
2026-03-25 08:53:25,,,,,,,,,,,,,,,
2026-03-25 08:53:30,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:53:35,7.5,3.0,,,75.0,9.5,4.6,,,95.0,9.950000000000001,4.960000000000001,,,99.5
2026-03-25 08:53:40,7.5,3.0,,,75.0,9.5,4.6,,,95.0,9.950000000000001,4.960000000000001,,,99.5
2026-03-25 08:53:45,7.5,3.0,,,75.0,9.5,4.6,,,95.0,9.950000000000001,4.960000000000001,,,99.5
2026-03-25 08:53:50,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:53:55,7.5,,,,,9.5,,,,,9.950000000000001,,,,
2026-03-25 08:54:00,,,,,,,,,,,,,,,
