timestamp,details-v1&p50,productpage-v1&p50,ratings-v1&p50,reviews-v1&p50,reviews-v2&p50,reviews-v3&p50,details-v1&p90,productpage-v1&p90,ratings-v1&p90,reviews-v1&p90,reviews-v2&p90,reviews-v3&p90,details-v1&p99,productpage-v1&p99,ratings-v1&p99,reviews-v1&p99,reviews-v2&p99,reviews-v3&p99
2026-03-25 09:10:30,7.5,,7.5,,,,9.5,,9.5,,,,9.950000000000001,,9.950000000000001,,,
2026-03-25 09:10:35,7.5,,,,,,9.5,,,,,,9.950000000000001,,,,,
2026-03-25 09:10:40,7.5,,,,,,9.5,,,,,,9.950000000000001,,,,,
2026-03-25 09:10:45,17.5,,,,,,23.5,,,,,,24.85,,,,,
2026-03-25 09:10:50,17.5,,,3.0,,,23.5,,,4.6,,,24.85,,,4.960000000000001,,
2026-03-25 09:10:55,17.5,,,3.0,,,23.5,,,4.6,,,24.85,,,4.960000000000001,,
2026-03-25 09:11:00,7.5,,,3.0,,,9.5,,,4.6,,,9.950000000000001,,,4.960000000000001,,
2026-03-25 09:11:05,7.5,,3.0,,,,9.5,,4.6,,,,9.950000000000001,,4.960000000000001,,,
2026-03-25 09:11:10,7.5,,3.0,,,,9.5,,4.6,,,,9.950000000000001,,4.960000000000001,,,
2026-03-25 09:11:15,3.0,,3.0,,,,4.6,,4.6,,,,4.960000000000001,,4.960000000000001,,,
2026-03-25 09:11:20,3.0,,3.0,,,75.0,4.6,,4.6,,,95.0,4.960000000000001,,4.96,,,99.5
2026-03-25 09:11:25,3.0,,3.0,,,75.0,4.6,,4.6,,,95.0,4.960000000000001,,4.96,,,99.5
2026-03-25 09:11:30,7.5,,3.0,,,75.0,9.5,,4.6,,,95.0,9.950000000000001,,4.96,,,99.5
2026-03-25 09:11:35,7.5,,,,,,9.5,,,,,,9.950000000000001,,,,,
2026-03-25 09:11:40,7.5,,,,,,9.5,,,,,,9.950000000000001,,,,,
2026-03-25 09:11:45,3.0,,,,,,4.6,,,,,,4.960000000000001,,,,,
2026-03-25 09:11:50,3.0,,3.0,,,,4.6,,4.6,,,,4.960000000000001,,4.960000000000001,,,
2026-03-25 09:11:55,3.0,,3.0,,75.0,,4.6,,4.6,,95.0,,4.960000000000001,,4.960000000000001,,99.5,
2026-03-25 09:12:00,,,3.0,,75.0,,,,4.6,,95.0,,,,4.960000000000001,,99.5,
2026-03-25 09:12:05,,,7.5,7.5,75.0,75.0,,,9.5,9.5,95.0,95.0,,,9.950000000000001,9.950000000000001,99.5,99.5
2026-03-25 09:12:10,,,7.5,7.5,,75.0,,,9.5,9.5,,95.0,,,9.950000000000001,9.950000000000001,,99.5
2026-03-25 09:12:15,7.5,,7.5,7.5,,75.0,9.5,,9.5,9.5,,95.0,9.950000000000001,,9.950000000000001,9.950000000000001,,99.5
2026-03-25 09:12:20,7.5,,,3.0,,,9.5,,,4.6,,,9.950000000000001,,,4.960000000000001,,
2026-03-25 09:12:25,7.5,,,3.0,,,9.5,,,4.6,,,9.950000000000001,,,4.960000000000001,,
2026-03-25 09:12:30,,,,3.0,,,,,,4.6,,,,,,4.960000000000001,,
2026-03-25 09:12:35,,,3.0,,,17.5,,,4.6,,,23.5,,,4.960000000000001,,,24.85
2026-03-25 09:12:40,,,3.0,,,17.5,,,4.6,,,23.5,,,4.960000000000001,,,24.85
2026-03-25 09:12:45,8.75,0.0,3.0,,,17.5,20.500000000000004,0.0,4.6,,,23.5,24.55,0.0,4.960000000000001,,,24.85
2026-03-25 09:12:50,8.75,0.0,,,,,20.500000000000004,0.0,,,,,24.55,0.0,,,,
2026-03-25 09:12:55,8.75,0.0,,,,,20.500000000000004,0.0,,,,,24.55,0.0,,,,
2026-03-25 09:13:00,,0.0,,,,,,0.0,,,,,,0.0,,,,
2026-03-25 09:13:05,,0.0,5.0,,,75.0,,0.0,9.0,,,95.0,,0.0,9.9,,,99.5
2026-03-25 09:13:10,,0.0,5.0,,75.0,75.0,,0.0,9.0,,95.0,95.0,,0.0,9.9,,99.5,99.5
2026-03-25 09:13:15,7.5,0.0,5.0,,75.0,75.0,9.5,0.0,9.0,,95.0,95.0,9.950000000000001,0.0,9.9,,99.5,99.5
2026-03-25 09:13:20,7.5,0.0,,,75.0,,9.5,0.0,,,95.0,,9.950000000000001,0.0,,,99.5,
2026-03-25 09:13:25,7.5,0.0,,,,,9.5,0.0,,,,,9.950000000000001,0.0,,,,
2026-03-25 09:13:30,7.5,0.0,,,,,9.5,0.0,,,,,9.950000000000001,0.0,,,,
2026-03-25 09:13:35,7.5,0.0,,17.5,,,9.5,0.0,,23.5,,,9.950000000000001,0.0,,24.85,,
