source,destination,timestamp
cartservice,redis-cart,2023-09-25 02:06:39
frontend,shippingservice,2023-09-25 02:06:39
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:39
checkoutservice,paymentservice,2023-09-25 02:06:39
recommendationservice,productcatalogservice,2023-09-25 02:06:39
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:39
shippingservice-7b678c856b-ft9xn,dell2018,2023-09-25 02:06:39
paymentservice-84ff8bdc4-4bqdm,dell2018,2023-09-25 02:06:39
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:06:39
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:39
checkoutservice,currencyservice,2023-09-25 02:06:39
redis-cart-66fc6f5646-j7gr7,dell2018,2023-09-25 02:06:39
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:39
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:06:39
istio-ingressgateway,frontend,2023-09-25 02:06:39
checkoutservice,emailservice,2023-09-25 02:06:39
shippingservice-7b678c856b-qbzf6,dell2018,2023-09-25 02:06:39
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:06:39
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:06:39
emailservice-54dcbc9c9d-hvjtf,dell2018,2023-09-25 02:06:39
unknown,frontend,2023-09-25 02:06:39
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:06:39
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:39
frontend,recommendationservice,2023-09-25 02:06:39
checkoutservice,cartservice,2023-09-25 02:06:39
frontend,adservice,2023-09-25 02:06:39
checkoutservice,shippingservice,2023-09-25 02:06:39
frontend,cartservice,2023-09-25 02:06:39
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:06:39
frontend,productcatalogservice,2023-09-25 02:06:39
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:06:39
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:39
frontend,currencyservice,2023-09-25 02:06:39
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:06:39
productcatalogservice-69864f99f4-82c8z,dell2018,2023-09-25 02:06:39
frontend,checkoutservice,2023-09-25 02:06:39
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:39
checkoutservice,productcatalogservice,2023-09-25 02:06:39
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:39
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:39
shippingservice-7b678c856b-qbzf6,dell2018,2023-09-25 02:06:44
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:44
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:44
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:44
redis-cart-66fc6f5646-j7gr7,dell2018,2023-09-25 02:06:44
istio-ingressgateway,frontend,2023-09-25 02:06:44
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:06:44
checkoutservice,emailservice,2023-09-25 02:06:44
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:06:44
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:06:44
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:06:44
unknown,frontend,2023-09-25 02:06:44
frontend,currencyservice,2023-09-25 02:06:44
emailservice-54dcbc9c9d-hvjtf,dell2018,2023-09-25 02:06:44
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:06:44
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:44
frontend,shippingservice,2023-09-25 02:06:44
frontend,recommendationservice,2023-09-25 02:06:44
checkoutservice,cartservice,2023-09-25 02:06:44
frontend,adservice,2023-09-25 02:06:44
checkoutservice,shippingservice,2023-09-25 02:06:44
cartservice,redis-cart,2023-09-25 02:06:44
frontend,cartservice,2023-09-25 02:06:44
checkoutservice,productcatalogservice,2023-09-25 02:06:44
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:44
frontend,productcatalogservice,2023-09-25 02:06:44
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:06:44
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:44
frontend,checkoutservice,2023-09-25 02:06:44
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:44
checkoutservice,currencyservice,2023-09-25 02:06:44
checkoutservice,paymentservice,2023-09-25 02:06:44
productcatalogservice-69864f99f4-82c8z,dell2018,2023-09-25 02:06:44
paymentservice-84ff8bdc4-4bqdm,dell2018,2023-09-25 02:06:44
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:44
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:06:44
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:44
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:06:44
shippingservice-7b678c856b-ft9xn,dell2018,2023-09-25 02:06:44
recommendationservice,productcatalogservice,2023-09-25 02:06:44
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:49
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:06:49
unknown,frontend,2023-09-25 02:06:49
frontend,currencyservice,2023-09-25 02:06:49
emailservice-54dcbc9c9d-hvjtf,dell2018,2023-09-25 02:06:49
shippingservice-7b678c856b-ft9xn,dell2018,2023-09-25 02:06:49
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:06:49
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:49
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:06:49
checkoutservice,cartservice,2023-09-25 02:06:49
frontend,shippingservice,2023-09-25 02:06:49
checkoutservice,currencyservice,2023-09-25 02:06:49
frontend,adservice,2023-09-25 02:06:49
cartservice,redis-cart,2023-09-25 02:06:49
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:49
frontend,productcatalogservice,2023-09-25 02:06:49
frontend,cartservice,2023-09-25 02:06:49
frontend,recommendationservice,2023-09-25 02:06:49
checkoutservice,shippingservice,2023-09-25 02:06:49
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:49
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:06:49
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:49
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:49
redis-cart-66fc6f5646-j7gr7,dell2018,2023-09-25 02:06:49
shippingservice-7b678c856b-qbzf6,dell2018,2023-09-25 02:06:49
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:49
paymentservice-84ff8bdc4-4bqdm,dell2018,2023-09-25 02:06:49
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:49
checkoutservice,emailservice,2023-09-25 02:06:49
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:06:49
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:49
recommendationservice,productcatalogservice,2023-09-25 02:06:49
checkoutservice,productcatalogservice,2023-09-25 02:06:49
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:06:49
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:06:49
istio-ingressgateway,frontend,2023-09-25 02:06:49
productcatalogservice-69864f99f4-82c8z,dell2018,2023-09-25 02:06:49
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:06:49
frontend,checkoutservice,2023-09-25 02:06:49
checkoutservice,paymentservice,2023-09-25 02:06:49
checkoutservice,shippingservice,2023-09-25 02:06:54
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:06:54
shippingservice-7b678c856b-qbzf6,dell2018,2023-09-25 02:06:54
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:54
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:54
istio-ingressgateway,frontend,2023-09-25 02:06:54
checkoutservice,emailservice,2023-09-25 02:06:54
frontend,shippingservice,2023-09-25 02:06:54
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:54
emailservice-54dcbc9c9d-hvjtf,dell2018,2023-09-25 02:06:54
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:06:54
productcatalogservice-69864f99f4-82c8z,dell2018,2023-09-25 02:06:54
checkoutservice,currencyservice,2023-09-25 02:06:54
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:06:54
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:06:54
frontend,recommendationservice,2023-09-25 02:06:54
redis-cart-66fc6f5646-j7gr7,dell2018,2023-09-25 02:06:54
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:54
frontend,checkoutservice,2023-09-25 02:06:54
recommendationservice,productcatalogservice,2023-09-25 02:06:54
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:06:54
checkoutservice,paymentservice,2023-09-25 02:06:54
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:06:54
shippingservice-7b678c856b-ft9xn,dell2018,2023-09-25 02:06:54
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:06:54
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:54
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:54
unknown,frontend,2023-09-25 02:06:54
frontend,productcatalogservice,2023-09-25 02:06:54
checkoutservice,cartservice,2023-09-25 02:06:54
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:06:54
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:54
frontend,cartservice,2023-09-25 02:06:54
cartservice,redis-cart,2023-09-25 02:06:54
frontend,currencyservice,2023-09-25 02:06:54
frontend,adservice,2023-09-25 02:06:54
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:54
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:54
paymentservice-84ff8bdc4-4bqdm,dell2018,2023-09-25 02:06:54
checkoutservice,productcatalogservice,2023-09-25 02:06:54
redis-cart-66fc6f5646-j7gr7,dell2018,2023-09-25 02:06:59
frontend,productcatalogservice,2023-09-25 02:06:59
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:59
shippingservice-7b678c856b-qbzf6,dell2018,2023-09-25 02:06:59
checkoutservice,emailservice,2023-09-25 02:06:59
cartservice,redis-cart,2023-09-25 02:06:59
frontend,currencyservice,2023-09-25 02:06:59
checkoutservice,productcatalogservice,2023-09-25 02:06:59
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:06:59
productcatalogservice-69864f99f4-82c8z,dell2018,2023-09-25 02:06:59
checkoutservice,paymentservice,2023-09-25 02:06:59
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:59
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:59
shippingservice-7b678c856b-ft9xn,dell2018,2023-09-25 02:06:59
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:59
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:06:59
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:59
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:59
frontend,cartservice,2023-09-25 02:06:59
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:06:59
frontend,adservice,2023-09-25 02:06:59
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:59
checkoutservice,shippingservice,2023-09-25 02:06:59
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:06:59
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:06:59
emailservice-54dcbc9c9d-hvjtf,dell2018,2023-09-25 02:06:59
checkoutservice,cartservice,2023-09-25 02:06:59
frontend,shippingservice,2023-09-25 02:06:59
paymentservice-84ff8bdc4-4bqdm,dell2018,2023-09-25 02:06:59
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:06:59
unknown,frontend,2023-09-25 02:06:59
checkoutservice,currencyservice,2023-09-25 02:06:59
frontend,recommendationservice,2023-09-25 02:06:59
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:06:59
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:06:59
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:06:59
istio-ingressgateway,frontend,2023-09-25 02:06:59
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:06:59
recommendationservice,productcatalogservice,2023-09-25 02:06:59
frontend,checkoutservice,2023-09-25 02:06:59
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:07:04
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:04
checkoutservice,emailservice,2023-09-25 02:07:04
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:04
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:07:04
checkoutservice,currencyservice,2023-09-25 02:07:04
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:07:04
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:07:04
checkoutservice,cartservice,2023-09-25 02:07:04
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:04
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:07:04
checkoutservice,shippingservice,2023-09-25 02:07:04
frontend,shippingservice,2023-09-25 02:07:04
frontend,cartservice,2023-09-25 02:07:04
