details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:08:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:09:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:10:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:11:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:20
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:25
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:30
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:35
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:40
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:45
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:50
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:12:55
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:13:00
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:13:05
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:13:10
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:13:15
1.0,1.0,1.0,1.0,1.0,1.0,2026-03-25 10:13:20
