timestamp,details-v1&p50,productpage-v1&p50,ratings-v1&p50,reviews-v1&p50,reviews-v2&p50,reviews-v3&p50,details-v1&p90,productpage-v1&p90,ratings-v1&p90,reviews-v1&p90,reviews-v2&p90,reviews-v3&p90,details-v1&p99,productpage-v1&p99,ratings-v1&p99,reviews-v1&p99,reviews-v2&p99,reviews-v3&p99
2026-03-25 10:08:20,,,,,,,,,,,,,,,,,,
2026-03-25 10:08:25,,,,,,,,,,,,,,,,,,
2026-03-25 10:08:30,17.5,,,,,,23.5,,,,,,24.85,,,,,
2026-03-25 10:08:35,17.5,,,,,,23.5,,,,,,24.85,,,,,
2026-03-25 10:08:40,17.5,,,,75.0,,23.5,,,,95.0,,24.85,,,,99.5,
2026-03-25 10:08:45,3.0,,,,75.0,,4.6,,,,95.0,,4.960000000000001,,,,99.5,
2026-03-25 10:08:50,3.0,,3.0,,75.0,,4.6,,4.6,,95.0,,4.960000000000001,,4.960000000000001,,99.5,
2026-03-25 10:08:55,3.0,,3.0,,,,4.6,,4.6,,,,4.960000000000001,,4.960000000000001,,,
2026-03-25 10:09:00,7.5,,3.0,,,,9.5,,4.6,,,,9.950000000000001,,4.960000000000001,,,
2026-03-25 10:09:05,7.5,,3.0,,,,9.5,,4.6,,,,9.950000000000001,,4.960000000000001,,,
2026-03-25 10:09:10,7.5,,3.0,,25.0,,9.5,,4.6,,90.0,,9.950000000000001,,4.960000000000001,,99.0,
2026-03-25 10:09:15,7.5,,3.0,,25.0,,9.5,,4.6,,90.0,,9.950000000000001,,4.960000000000001,,99.0,
2026-03-25 10:09:20,7.5,0.0,5.0,,25.0,,9.5,0.0,9.0,,90.0,,9.950000000000001,0.0,9.9,,99.0,
2026-03-25 10:09:25,7.5,0.0,5.0,,17.5,,9.5,0.0,9.0,,23.5,,9.950000000000001,0.0,9.9,,24.85,
2026-03-25 10:09:30,13.75,0.0,5.0,,17.5,,22.75,0.0,9.0,,23.5,,24.775,0.0,9.9,,24.85,
2026-03-25 10:09:35,13.75,0.0,7.5,,17.5,,22.75,0.0,9.5,,23.5,,24.775,0.0,9.950000000000001,,24.85,
2026-03-25 10:09:40,13.75,0.0,7.5,,17.5,,22.75,0.0,9.5,,23.5,,24.775,0.0,9.950000000000001,,24.85,
2026-03-25 10:09:45,,0.0,7.5,,17.5,,,0.0,9.5,,23.5,,,0.0,9.950000000000001,,24.85,
2026-03-25 10:09:50,,0.0,3.6666666666666665,,17.5,25.0,,0.0,7.999999999999999,,23.5,90.0,,0.0,9.8,,24.85,99.0
2026-03-25 10:09:55,,0.0,3.6666666666666665,,75.0,25.0,,0.0,7.999999999999999,,95.0,90.0,,0.0,9.8,,99.5,99.0
2026-03-25 10:10:00,17.5,0.0,3.6666666666666665,,75.0,25.0,23.5,0.0,7.999999999999999,,95.0,90.0,24.85,0.0,9.8,,99.5,99.0
2026-03-25 10:10:05,17.5,0.0,3.0,,75.0,,23.5,0.0,4.6,,95.0,,24.85,0.0,4.96,,99.5,
2026-03-25 10:10:10,17.5,0.0,3.0,,,,23.5,0.0,4.6,,,,24.85,0.0,4.96,,,
2026-03-25 10:10:15,5.0,0.0,3.0,,,,9.0,0.0,4.6,,,,9.9,0.0,4.96,,,
2026-03-25 10:10:20,5.0,0.0,3.0,,,,9.0,0.0,4.6,,,,9.9,0.0,4.960000000000001,,,
2026-03-25 10:10:25,5.0,0.0,3.0,,,,9.0,0.0,4.6,,,,9.9,0.0,4.960000000000001,,,
2026-03-25 10:10:30,,0.0,3.0,,,,,0.0,4.6,,,,,0.0,4.960000000000001,,,
2026-03-25 10:10:35,,0.0,3.0,3.0,,75.0,,0.0,4.6,4.6,,95.0,,0.0,4.960000000000001,4.960000000000001,,99.5
2026-03-25 10:10:40,,0.0,3.0,3.0,,75.0,,0.0,4.6,4.6,,95.0,,0.0,4.960000000000001,4.960000000000001,,99.5
2026-03-25 10:10:45,10.0,0.0,3.0,3.0,,75.0,22.0,0.0,4.6,4.6,,95.0,24.700000000000003,0.0,4.960000000000001,4.960000000000001,,99.5
2026-03-25 10:10:50,10.0,0.0,,,,,22.0,0.0,,,,,24.700000000000003,0.0,,,,
2026-03-25 10:10:55,10.0,0.0,,,,,22.0,0.0,,,,,24.700000000000003,0.0,,,,
2026-03-25 10:11:00,6.25,0.0,,,,,9.25,0.0,,,,,9.925,0.0,,,,
2026-03-25 10:11:05,6.25,0.0,,,,,9.25,0.0,,,,,9.925,0.0,,,,
2026-03-25 10:11:10,6.25,0.0,,,,,9.25,0.0,,,,,9.925,0.0,,,,
2026-03-25 10:11:15,7.5,0.0,,,,,9.5,0.0,,,,,9.950000000000001,0.0,,,,
2026-03-25 10:11:20,7.5,0.0,3.0,,,,9.5,0.0,4.6,,,,9.950000000000001,0.0,4.960000000000001,,,
2026-03-25 10:11:25,7.5,0.0,3.0,,,,9.5,0.0,4.6,,,,9.950000000000001,0.0,4.960000000000001,,,
2026-03-25 10:11:30,7.5,0.0,3.0,,,,9.5,0.0,4.6,,,,9.950000000000001,0.0,4.960000000000001,,,
2026-03-25 10:11:35,7.5,0.0,,,,,9.5,0.0,,,,,9.950000000000001,0.0,,,,
2026-03-25 10:11:40,7.5,0.0,,,,,9.5,0.0,,,,,9.950000000000001,0.0,,,,
2026-03-25 10:11:45,6.25,0.0,,,,,9.25,0.0,,,,,9.925,0.0,,,,
2026-03-25 10:11:50,6.25,0.0,,,,,9.25,0.0,,,,,9.925,0.0,,,,
2026-03-25 10:11:55,6.25,0.0,,,,,9.25,0.0,,,,,9.925,0.0,,,,
2026-03-25 10:12:00,7.5,0.0,,,,,9.5,0.0,,,,,9.950000000000001,0.0,,,,
2026-03-25 10:12:05,7.5,0.0,3.0,,,,9.5,0.0,4.6,,,,9.950000000000001,0.0,4.960000000000001,,,
2026-03-25 10:12:10,7.5,0.0,3.0,,,,9.5,0.0,4.6,,,,9.950000000000001,0.0,4.960000000000001,,,
2026-03-25 10:12:15,3.0,0.0,3.0,,,,4.6,0.0,4.6,,,,4.960000000000001,0.0,4.960000000000001,,,
2026-03-25 10:12:20,3.0,0.0,,5.0,,,4.6,0.0,,9.0,,,4.960000000000001,0.0,,9.9,,
